Family_History,Social_Support,Counseling_Service_Use,Extracurricular_Involvement,Semester_Credit_Load,Sleep_Quality,Physical_Activity,Stress_Level,Financial_Stress,Substance_Use,Diet_Quality,Depression_Score,Anxiety_Score,Chronic_Illness,Burnout_Score,Burnout_Level
0,0.5,0,0.5,0.142857143,1,0.5,0.6,0.4,0,1,0.6,0.4,0,0.311582496,0
0,0,0.5,0,0.857142857,0.5,0,0,0.6,0.5,0.5,0.6,0,0,0.596540197,2
0,0.5,0.5,1,0,1,0,0.8,0.8,0,0.5,0,0.6,0,0.400130831,0
0,0.5,0,0.5,0.357142857,0.5,0,0.4,0.8,0,0.5,0.2,0,0,0.400071468,0
0,1,0,1,0.571428571,1,0,0.6,0,0,0.5,0.6,0.8,1,0.410357527,0
0,1,0,0.5,0.285714286,1,0.5,0.4,1,0,1,0.8,0.6,0,0.319463779,0
0,0.5,0,0.5,0.357142857,1,0.5,0.4,0.8,0,0.5,0.4,1,0,0.415324214,0
1,0,0,0.5,0.571428571,0.5,0,0,0.6,0,0.5,0.6,0.6,0,0.623895968,2
1,0.5,0,0,0.928571429,0,0,0.6,0.4,1,0.5,0.4,0.2,0,0.84970272,2
1,0,0.5,0.5,0.857142857,0.5,0.5,0.4,0.2,0,1,1,0,0,0.542185994,1
0,0.5,0.5,0.5,0.5,0.5,0,0.6,0.6,0,1,0.4,0.8,0,0.555200413,2
1,0.5,0.5,0.5,0.357142857,0.5,0.5,0.6,0,0,0.5,0,0.6,0,0.533313003,1
0,0.5,0.5,1,0.142857143,0.5,0.5,0.2,0.2,0,0.5,0.2,0.6,0,0.288499681,0
0,1,0.5,0.5,0.142857143,0.5,0.5,0.6,0.2,0,0.5,0.4,0.4,0,0.368340309,0
0,0.5,0.5,0.5,0.214285714,0.5,0,0.6,0.4,0,0,0,0.6,0,0.514896569,1
1,0.5,0,0.5,0.714285714,1,0,0.6,0.8,0,0.5,0.2,1,0,0.657687365,2
1,0.5,0,0.5,0.571428571,1,0,0.8,0.2,0,0.5,0.2,0.6,0,0.52795522,1
1,1,0,0.5,1,1,0,1,0.8,0,0.5,0.2,0.2,0,0.528948091,1
0,0.5,1,1,1,1,0.5,0.6,0.8,0,0.5,0.2,0,0,0.443021031,1
0,0,0,0,0.071428571,1,1,0.4,0.6,0.5,0.5,0.4,0.4,0,0.40353779,0
0,0,0,0,0.5,0.5,0.5,1,0.8,0,0.5,0.6,0.4,0,0.608438363,2
1,1,0,0.5,0.142857143,1,1,0.2,0.8,0,1,0.6,0.4,0,0.324293117,0
0,1,0.5,1,0.142857143,0.5,0.5,0.8,0.6,0,0.5,1,0.4,0,0.486011332,1
0,0,0,0,0.714285714,1,0,0.4,0.4,0,0.5,0,1,0,0.526075398,1
1,0,0,0,0.071428571,0.5,0.5,0,0.8,0,0,0,0.6,0,0.5902943,2
0,1,0,0,0.5,1,0.5,1,0.4,0,0.5,0.2,0.6,0,0.447632705,1
1,1,0,0.5,1,1,1,1,0.6,0,0.5,1,0.8,0,0.695180207,2
1,0.5,0,0,0.857142857,1,0.5,0.6,1,0,0.5,0.2,0.6,0,0.632692138,2
0,0.5,0,0.5,0.214285714,1,0.5,0.6,0.8,0,0.5,0.2,0.4,0,0.310948129,0
1,0.5,1,0,0.642857143,0.5,1,0.6,1,0,0.5,0.4,0.2,0,0.696421006,2
0,0.5,0,0,0.428571429,1,0,0.4,0.6,0,0.5,0.2,1,0,0.47935106,1
0,1,0,0,0.5,1,0.5,0.6,0.6,0,0.5,0.2,0.4,0,0.399324195,0
0,0.5,0,0.5,0.071428571,0.5,0,0.6,0,0,1,0,0.8,0,0.315549327,0
0,1,0.5,0.5,1,0.5,0,0.4,0.4,0,0,0.6,0.4,0,0.593120434,2
0,0.5,0.5,0.5,0.928571429,1,1,0.8,1,0,0.5,0.2,0.6,0,0.5015865,1
1,0,1,0,0,0.5,1,0.6,0.2,0,0.5,0.2,0.2,0,0.532981269,1
0,1,0.5,0,0.285714286,1,0.5,0.8,0.4,0,0.5,0,1,0,0.388630745,0
1,0.5,0,0,0.571428571,0.5,0.5,0.6,0.2,0,0.5,0.6,0.8,0,0.583759737,2
0,0.5,0.5,0,0.214285714,0.5,0.5,0,0,0,0.5,0.6,0.6,0,0.421204622,0
1,0,0,0.5,0.285714286,1,0.5,0.4,0,0,0.5,1,0.2,0,0.493403746,1
0,0.5,0,0,0.5,1,0.5,1,1,0,0.5,1,0.6,0,0.589722787,2
0,1,0.5,1,1,1,1,1,0.4,0.5,0.5,0.6,0.6,0,0.392789632,0
0,0.5,0,0.5,0.785714286,1,0.5,0.6,0.2,0,1,0.6,0,0,0.37638455,0
0,0.5,0,0,1,1,0,1,0.6,0.5,0,0,0.2,0,0.645022139,2
0,0.5,0,0,0.214285714,1,0.5,0.4,0.4,0,0.5,0.2,0.8,0,0.390821348,0
0,1,0,0,0.214285714,0.5,0.5,0.8,0.4,0,1,0.8,0.2,0,0.399775818,0
1,0,0.5,0,0.714285714,1,0,0.4,0,0,0,0,0.8,0,0.660506516,2
0,0,0,0.5,0.285714286,1,0,0.6,0.2,0,0.5,0.8,0.8,0,0.564681001,2
0,0.5,0,0.5,0.714285714,1,0,0.6,0.4,0,0.5,0.2,0.2,0,0.423624529,0
1,1,0,0.5,0.214285714,1,0.5,1,0,0,0.5,0,0,0,0.281738143,0
1,0.5,0,1,0.642857143,1,0.5,0.2,0.6,0,0,0.4,0.4,0,0.464606972,1
1,1,0.5,0,0.5,1,0.5,0,1,0,0.5,0,0,1,0.54938286,2
1,0.5,0.5,0.5,0.428571429,0.5,0.5,0.8,0,0,0,0.2,0,0,0.49628226,1
0,1,0,0.5,0.571428571,0.5,0,0.4,0.8,1,0.5,1,0,0,0.575448946,2
1,1,0,0,0.857142857,0.5,0.5,0.8,0.8,0,1,0.8,0.2,0,0.554652181,2
0,0,0,1,0.928571429,0.5,0,0,0.8,0,0.5,0.2,0.4,0,0.490692845,1
0,0.5,0,0.5,0.714285714,1,0.5,0.6,0,0,0,0.4,0.2,0,0.359036647,0
1,0.5,0,0,0.642857143,0.5,0.5,0,0,0,1,1,0.4,0,0.500563365,1
0,0.5,0,0.5,0.357142857,1,0.5,1,0,0,0.5,1,0.8,0,0.512381216,1
0,0.5,1,0.5,0.785714286,1,0.5,1,0.2,0,0.5,0.8,0.6,0,0.593703586,2
0,0.5,0,0.5,0.642857143,1,0,0.6,0.4,0,1,0.2,0.6,0,0.390844628,0
0,1,0,1,1,0,0.5,0.2,0.2,0,0.5,1,1,0,0.517353723,1
1,0,0.5,0,0.642857143,0.5,0,0.4,1,0,0,0.6,0.6,0,0.912330467,2
0,0,0,0,1,1,0,0.6,0.8,0,0.5,0.4,0,0,0.596461046,2
0,1,0.5,0.5,0.714285714,0.5,1,0.8,0.4,0,0.5,0.8,0.4,0,0.469252401,1
0,1,0.5,1,0.642857143,1,0,0.8,0.8,1,0.5,0,0,0,0.456499877,1
0,0.5,0,0.5,0.928571429,0.5,0.5,0.6,0,0,1,0.6,0.6,0,0.41189514,0
0,0.5,0,0.5,0.071428571,1,1,0,0.2,0,0,0.8,0.4,0,0.327241469,0
1,1,0,0,0.142857143,0,0,0.4,0.8,0,0.5,0.2,0,0,0.594996764,2
0,0.5,0,0.5,0.642857143,1,1,0.8,1,0,0.5,0,0.8,0,0.433685941,1
0,0.5,0,0,0.285714286,0.5,0.5,0.4,0,0,0.5,1,0.8,0,0.55411326,2
0,0,0,0,0.714285714,0.5,1,0,0.8,0.5,0.5,0.8,0,0,0.52516284,1
0,0.5,0,1,0.642857143,1,0,0.6,0,0,0.5,0.2,0.2,0,0.285387208,0
0,0.5,0.5,0,0.428571429,1,0.5,0.4,0.8,0,0.5,0.2,1,0,0.528580275,1
0,1,0,0.5,0.857142857,0,0,0.2,0.4,0.5,1,0.8,0.2,0,0.471666488,1
0,0.5,0.5,0.5,0.428571429,1,1,0.6,0.2,0,0,0.8,0,0,0.373095153,0
0,0.5,0,0,0.5,1,1,0.2,0.4,0,0.5,0.4,0.4,0,0.313006039,0
1,0,1,0.5,1,0,0.5,0.2,0.8,0,0.5,1,0.4,0,0.858422067,2
1,1,0,0.5,0.571428571,0.5,0.5,0.4,0.6,0,0.5,0.2,0.8,0,0.455740964,1
0,0.5,0,0.5,0.214285714,1,0.5,0.4,0,0,0.5,1,0,0,0.358401116,0
0,0.5,0,1,0.285714286,0.5,0.5,0.2,0,0.5,0.5,1,1,0,0.49801542,1
1,0.5,0,0,0.428571429,1,0.5,0,0.8,0.5,0.5,0.2,0.8,0,0.640482631,2
0,0.5,0,1,0.714285714,1,0.5,1,0.2,0,0.5,0.6,0.8,0,0.413089379,0
1,0.5,0,0,0.857142857,1,0,0.2,0.6,0,0.5,0.4,0.8,0,0.613715831,2
0,0,0.5,0.5,0.928571429,1,0,0.2,0.8,0,0,0.8,0.8,0,0.686338643,2
0,1,0.5,0.5,0.357142857,0.5,1,0.4,0.4,0,0,0.4,0.8,0,0.396250134,0
0,1,0,0,0.785714286,1,0,0.4,0.8,0,1,0,1,0,0.399834017,0
1,0,0,0,0.428571429,0.5,0,0,0.8,0,1,0.8,0.6,0,0.639456004,2
0,1,0,1,0.428571429,1,0.5,0,1,0,0.5,0.6,0.6,0,0.340511963,0
0,0,1,0,0.928571429,0,0.5,0.2,1,0,0,0.8,0,0,0.859105321,2
0,0.5,0,0.5,0.642857143,0.5,1,0.2,0.4,0,0.5,0.6,0,0,0.30430648,0
0,1,0,1,0.142857143,1,0.5,0,0.6,0,0.5,1,0,0,0.204405883,0
0,1,0,0,0.714285714,1,0.5,1,0.6,0,0.5,0.2,0.8,0,0.554413565,2
1,0.5,0,0,0.928571429,1,0,0.6,1,0,0,0.4,0.4,0,0.764256382,2
0,0,0.5,1,0.857142857,0.5,0,0.8,0.2,0,0.5,0,0.4,0,0.479594331,1
0,0.5,0,0.5,0,0,0,0.2,0.8,0,0,0.2,0.4,0,0.532850904,1
0,0.5,0,0,0.642857143,0.5,0,0.2,1,0,0,0,0.8,0,0.640755002,2
1,0.5,0.5,0,0.928571429,0.5,0.5,0.4,0.4,0,0,0.4,0.8,0,0.776323325,2
0,0,0,0,0.142857143,0.5,0.5,0.4,0,0,0.5,0.2,0.4,0,0.351018014,0
0,0.5,0,0,0.714285714,0.5,0.5,1,0,0,0,1,0.2,0,0.626244873,2
1,1,0,0.5,0.428571429,1,0.5,1,0.8,0,0,0.8,0.6,0,0.629637864,2
0,0,0,0,0.642857143,0.5,0,0.8,0.6,0,1,0.4,0.4,0,0.57624045,2
0,0,1,1,0.642857143,0.5,0.5,0.6,1,0,0.5,0.4,0.8,0,0.609206587,2
0,0,0.5,0,0.428571429,0.5,1,0.4,0.6,0,1,0.4,0.6,0,0.490538036,1
0,0.5,0.5,0,0.428571429,1,0.5,1,0.6,0,0,0,0.6,0,0.589469041,2
0,0.5,0,0,1,0,0.5,0.4,0.4,0,0.5,0.4,0.8,0,0.579285412,2
0,0.5,0.5,1,0,1,0,0.8,0.2,0,0.5,0,0.8,0,0.321838291,0
0,1,0.5,0.5,0.857142857,1,0,0.8,0,0,0,0.4,0.2,0,0.524448159,1
1,0.5,0.5,0,0.785714286,0.5,1,1,0.8,0,0,0,0.8,0,0.807624976,2
1,0.5,0,0.5,0.571428571,0,0.5,0.2,1,0,0.5,0.2,0.6,0,0.593561581,2
0,0.5,0,0,0.214285714,1,1,0.6,1,0,0.5,0.8,0.2,0,0.391579097,0
0,0.5,0.5,0.5,0.428571429,1,0.5,1,0.8,0,0.5,0.8,0.2,0,0.515902245,1
0,0,0.5,0,0.5,1,1,0,0.2,1,0.5,0.2,0.4,0,0.456521992,1
0,1,0.5,0.5,0.857142857,1,0.5,0.4,0,0,0.5,1,0.2,0,0.36782234,0
